no_story,3.0-4.0&4.0-5.0&5.0-6.0&6.0-7.0&7.0-8.0&8.0-9.0&9.0-10.0&10.0-11.0&11.0-12.0&12.0-13.0&13.0-14.0,0&2795&3225&3415&3155&3164&2887&2865&2983&2676&2832
Hieght,3.0-3.1&3.1-3.2&3.2-3.3&3.3-3.4&3.4-3.5&3.5-3.6&3.6-3.7&3.7-3.8&3.8-3.9&3.9-4.0,2502&2772&2822&3033&2833&3148&2967&2910&2602&4408
b_Hieght,12.0-16.0&16.0-20.0&20.0-24.0&24.0-28.0&28.0-32.0&32.0-36.0&36.0-40.0&40.0-44.0&44.0-48.0&48.0-52.0,3240&3658&3708&3803&3255&3026&3554&2821&1862&1070
b_st,0.3-0.5&0.5-0.6&0.6-0.7&0.7-0.8&0.8-0.9&0.9-1.0&1.0-1.1&1.1-1.2&1.2-1.3&1.3-1.4,4289&3363&3452&3560&3234&2772&2294&3294&2021&1718
h_st,0.3-0.5&0.5-0.6&0.6-0.7&0.7-0.8&0.8-0.9&0.9-1.0&1.0-1.1&1.1-1.2&1.2-1.3&1.3-1.4,4373&3337&3316&3774&3269&2594&2336&3112&2206&1680
py,6.0-6.8&6.8-7.6&7.6-8.4&8.4-9.2&9.2-10.0&10.0-10.8&10.8-11.6&11.6-12.4&12.4-13.2&13.2-14.0,2946&3138&3012&3046&2849&2903&3694&2083&3014&3312
T1,0.4-0.6&0.6-0.8&0.8-1.0&1.0-1.2&1.2-1.4&1.4-1.5&1.5-1.7&1.7-1.9&1.9-2.1&2.1-2.3,2444&9220&7766&4909&2907&1566&767&304&77&37
T2,0.3-0.5&0.5-0.7&0.7-0.9&0.9-1.1&1.1-1.3&1.3-1.5&1.5-1.7&1.7-1.9&1.9-2.1&2.1-2.3,1703&10155&8106&5046&2734&1397&498&254&87&17
T3,0.3-0.4&0.4-0.6&0.6-0.7&0.7-0.9&0.9-1.0&1.0-1.2&1.2-1.3&1.3-1.5&1.5-1.6&1.6-1.8,957&7239&9378&6218&3485&1867&685&131&24&13
nr_ph_max/nph,0.0-0.1&0.1-0.1&0.1-0.2&0.2-0.3&0.3-0.3&0.3-0.4&0.4-0.4&0.4-0.5&0.5-0.6&0.6-0.6,3294&2704&5086&5610&5471&4207&2336&999&253&37
HE(i)/IE(i),-0.0-0.1&0.1-0.2&0.2-0.2&0.2-0.3&0.3-0.4&0.4-0.5&0.5-0.5&0.5-0.6&0.6-0.7&0.7-0.8,3625&1617&1888&2141&2733&3155&3823&4774&4789&1452
E,13003000.0-15402100.0&15402100.0-17801200.0&17801200.0-20200300.0&20200300.0-22599400.0&22599400.0-24998500.0&24998500.0-27397600.0&27397600.0-29796700.0&29796700.0-32195800.0&32195800.0-34594900.0&34594900.0-36994000.0,27&31&364&4190&4343&4244&4253&4496&3987&4062
FbXmax,418.6-3295.4&3295.4-6172.3&6172.3-9049.1&9049.1-11926.0&11926.0-14802.8&14802.8-17679.6&17679.6-20556.5&20556.5-23433.3&23433.3-26310.2&26310.2-29187.0,4749&9862&7441&4163&2204&973&385&126&67&27
FbYmax,423.5-3513.0&3513.0-6602.4&6602.4-9691.9&9691.9-12781.3&12781.3-15870.8&15870.8-18960.2&18960.2-22049.7&22049.7-25139.1&25139.1-28228.6&28228.6-31318.0,6255&10634&7124&3356&1571&625&278&118&29&7
nr_ph_max,0.0-205.5&205.5-411.0&411.0-616.5&616.5-822.0&822.0-1027.5&1027.5-1233.0&1233.0-1438.5&1438.5-1644.0&1644.0-1849.5&1849.5-2055.0,13383&8781&4367&1970&887&361&182&44&13&9
no_span,1.0-2.0&2.0-3.0&3.0-4.0&4.0-5.0&5.0-6.0,0&7506&7377&7466&7648
no_bay,1.0-2.0&2.0-3.0&3.0-4.0&4.0-5.0&5.0-6.0,0&7763&7509&7413&7312
h_gr,0.1-0.2&0.2-0.3&0.3-0.4&0.4-0.5&0.5-0.6&0.6-0.7&0.7-0.8&0.8-0.9&0.9-1.0,0&0&201&1924&4277&6434&8527&7763&871
b_gr,0.1-0.2&0.2-0.3&0.3-0.4&0.4-0.5&0.5-0.6,0&9176&14975&5249&597
DI_cladire,0.0-0.2&0.2-0.5&0.5-0.7&0.7-1.0&1.0-1.2&1.2-1.5&1.5-1.7&1.7-2.0&2.0-2.2&2.2-2.5,9251&7419&4908&3031&1958&1278&924&574&421&233
Mgr,92.0-222.1&222.1-352.2&352.2-482.3&482.3-612.4&612.4-742.5&742.5-872.6&872.6-1002.7&1002.7-1132.8&1132.8-1262.9&1262.9-1393.0,3022&5908&6259&5207&4429&2242&1679&653&493&105
MstX,544.0-806.2&806.2-1068.4&1068.4-1330.6&1330.6-1592.8&1592.8-1855.0&1855.0-2117.2&2117.2-2379.4&2379.4-2641.6&2641.6-2903.8&2903.8-3166.0,2986&4475&4499&4802&4050&3745&3031&1667&631&111
MstY,630.0-847.0&847.0-1064.0&1064.0-1281.0&1281.0-1498.0&1498.0-1715.0&1715.0-1932.0&1932.0-2149.0&2149.0-2366.0&2366.0-2583.0&2583.0-2800.0,3822&3283&4012&3993&3454&3247&3151&2782&1708&545
