Feature,MAE,MSE,RMSE,R2
Fund_Freq,0.35,0.22,0.47,0.15
Absolute_Amplitude,0.28,0.16,0.4,0.38
Hieght,0.4,0.26,0.51,0.0
Span,0.4,0.26,0.51,0.0
bay,0.4,0.26,0.51,-0.0
no_story,0.39,0.25,0.5,0.01
no_span,0.4,0.26,0.51,0.0
no_bay,0.4,0.26,0.51,0.0
csi,0.4,0.26,0.51,-0.0
b_st,0.39,0.25,0.5,0.01
h_st,0.39,0.25,0.5,0.01
b_gr,0.4,0.26,0.51,-0.0
h_gr,0.4,0.26,0.51,0.0
Np,0.39,0.25,0.5,0.01
Shift,0.39,0.25,0.5,0.01
py,0.4,0.26,0.51,0.0
E,0.4,0.26,0.51,0.0
MstY,0.39,0.25,0.5,0.01
MstX,0.4,0.26,0.51,0.0
Mgr,0.4,0.26,0.51,-0.0
Lshape,0.4,0.26,0.51,0.0
bay2,0.4,0.26,0.51,0.0
no_span_2,0.4,0.26,0.51,0.0
no_bay_2,0.4,0.26,0.51,0.0
no_story_2,0.4,0.26,0.51,0.0
T1,0.4,0.26,0.51,0.0
T2,0.39,0.26,0.51,0.0
T3,0.39,0.25,0.5,0.0
